Location	Category
constructed wetland sediment	FWS
ferruginous lake sediment	FWS
flower lake sediment core labelled replicate 1	FWS
h2-incubated subglacial sediment	FWS
river mud	FWS
riverside silt	FWS
riverside soil	FWS
sediment at 5 m depth in an aquifer adjacent to the colorado river	FWS
sediment from mahoney lake	FWS
sediment of a brackish meromictic lake	FWS
sediment of alpine lake	FWS
sediment of bai-how river where it runs through national central university	FWS
sediment of geum river	FWS
sediment of xiaofu river	FWS
chemostat inoculated with river sediment	FWS
venting sediment	FWS
granitic rock aquifer at 600 m depth	FWS
packed-bed column with anaerobic sediment from the rhine river near wageningen; the netherlands and ground anaerobic granular sludge from a sugar refinery in centrale suiker maatschappij; breda; the netherlands	FWS
profundal sediment of a fresh water lake	FWS
profundal sediment sludge from lake constance	FWS
pearl river surface water	FWS
river bottom silt	FWS
river dee sediment	FWS
river epilithic biofilm	FWS
river in endau-rompin national park	FWS
saint ana crater lake water	FWS
littoral bottom sediments	FWS
littoral water sample	FWS
littoral zone	FWS
littoral zone of southern lake michigan	FWS
fungal fruitbody	Fungi
apterostigma fungus garden	Fungi
whole lichen thallus containing the lichenizing fungus leptogium austroamericanum; the cyanobacterial photobiont; and possibly endolichenic fungi and prokaryotes	Fungi
arbuscular mycorrhiza fungal spore	Fungi
arbuscular mycorrhizae fungus	Fungi
environmental; phanerochaete chrysosporium fungus	Fungi
acromyrmex fungus garden	Fungi
trachymyrmex fungus garden	Fungi
fungal hypha of mortierella parvispora e1425	Fungi
fungal hyphae	Fungi
fungal mycelia of mortierella elongata fmr23-6	Fungi
fungal plug from cicada magicicada septendecim abdomen	Fungi
fungus	Fungi
fungus: flavoplaca marina	Fungi
symptomatic mushroom tissue	Fungi
atta cephalotes fungus garden	Fungi
atta laevigata fungus garden	Fungi
cladonia metagenome	Fungi
atta sp.fungus garden	Fungi
mold-colonized wall of an indoor environment	Fungi
cyphomyrmex fungus garden	Fungi
assoc. with toninia coeruleonigricans	Fungi
peltigera metagenome	Fungi
peridium of ascocarps	Fungi
phanerochaete sp. pw271	Fungi
late auricularia	Fungi
epichloe	Fungi
cold mineral spring water	FW
caciam 22 non-axenic culture of unicellular cyanobacterium started from water sample from bolonha lake	FW
alpine spring water	FW
forest pond	FW
freashwater pond	FW
frehwater caulobacter isolate from botany pond; university of chicago	FW
human-created freshwater pond with recirculation system	FW
lagoon	FW
lagoon water from east crimea; arabat spit	FW
lake	FW
lake erie	FW
lake freshwater	FW
outdoor hot tub	FW
polluted ground water	FW
pond water	FW
pond water containing pink berries	FW
pond; water sample	FW
pool at botanical garden; havana; cuba	FW
pool on the surface of a mud volcano	FW
rain	FW
rain water pond	FW
raised bog	FW
rice paddies	FW
rice paddy	FW
richmond mine abmuck location	FW
rifle well cd01 at 16ft depth; 0.1 micron filter at time point a	FW
rifle well cd01 at 16ft depth; 0.1 micron filter at time point b	FW
rifle well cd01 at 16ft depth; 0.1 micron filter at time point c	FW
rifle well cd01 at 16ft depth; 0.1 micron filter at time point d	FW
rifle well cd01 at 16ft depth; 0.2 micron filter at time point a	FW
rifle well cd01 at 16ft depth; 0.2 micron filter at time point b	FW
rifle well cd01 at 16ft depth; 0.2 micron filter at time point c	FW
rifle well cd01 at 16ft depth; 0.2 micron filter at time point d	FW
rifle well cd01 at 16ft depth; 1.2 micron filter at time point a	FW
rifle well cd01 at 16ft depth; 1.2 micron filter at time point b	FW
rifle well cd01 at 16ft depth; 1.2 micron filter at time point c	FW
rifle well cd01 at 16ft depth; 1.2 micron filter at time point d	FW
rifle well cd01 at time point 1 / a; 5m depth; 0.1 filter	FW
rifle well cd01 at time point 1 / a; 5m depth; 0.2 filter	FW
rifle well cd01 at time point 2 / b; 5m depth; 0.1 filter	FW
rifle well cd01 at time point 2 / b; 5m depth; 0.2 filter	FW
rifle well cd01 at time point 3 / c; 5m depth; 0.2 filter	FW
rifle well cd01 at time point 4 / d; 5m depth; 0.2 filter	FW
rifle well cd01 at time point 5 / e; 5m depth; 0.1 filter	FW
rifle well cd01 at time point 5 / e; 5m depth; 0.2 filter	FW
rifle well cd01 at time point 6 / f; 5m depth; 0.1 filter	FW
rifle well cd01 at time point 6 / f; 5m depth; 0.2 filter	FW
rifle well fp-101 under high o2	FW
rifle well fp-101 under high o2 conditions 0.1 micron filter; 10% subassembly	FW
rifle well fp-101 under high o2 conditions; 0.1 micron filter; full assembly	FW
rifle well fp-101 under high o2 conditions; 0.2 micron filter; 10% subassembly	FW
rifle well fp-101 under high o2 conditions; 0.2 micron filter; full assembly	FW
rifle well fp-101 under high o2 conditions; 1.2 micron filter; full assembly	FW
rifle well fp-101 under low o2 conditions; 0.1 micron filter; full assembly	FW
rifle well fp-101 under low o2 conditions; 0.2 micron filter; 10% subassembly	FW
rifle well fp-101 under low o2 conditions; 0.2 micron filter; full assembly	FW
rifle well fp-101 under low o2 conditions; 1.2 micron filter; 10% subassembly	FW
rifle well fp-101 under low o2 conditions; 1.2 micron filter; full assembly	FW
shower	FW
shower in hotel bathroom	FW
spring	FW
spring warter	FW
spring water	FW
agricultural water	FW
chlorinated drinking water; site 1	FW
chlorinated drinking water; site 2	FW
chlorinated drinking water; site 3	FW
chlorinated drinking water; site 4	FW
chlorinated drinking water; site 5	FW
chlorinated drinking water; site 6	FW
pond c1 freshwater mesocosm in the large experimental array of ponds platform	FW
pond c4 freshwater mesocosm in the large experimental array of ponds platform	FW
pond c8 freshwater mesocosm in the large experimental array of ponds platform	FW
pond d1 freshwater mesocosm in the large experimental array of ponds platform	FW
pond d4 freshwater mesocosm in the large experimental array of ponds platform	FW
pond d8 freshwater mesocosm in the large experimental array of ponds platform	FW
pond e1 freshwater mesocosm in the large experimental array of ponds platform	FW
pond h1 freshwater mesocosm in the large experimental array of ponds platform	FW
pond receiving effluent from an anaerobic solids digester; hamilton; new zealand	FW
5.0 micron fraction from freshwater reservoir amadorio	FW
artificial fountain	FW
artificial freshwater lake	FW
biofilm from indoor freshwater fish hatchery	FW
biofilm from outdoor freshwater natural spring	FW
biofilm sample of a freshwater recirculation aquaculture system	FW
blue lagoon; iceland at 20 cm	FW
blue lake; british columbia; canada	FW
caciam 66 non-axenic culture of unicellular cyanobacterium started from freshwater	FW
co-culture of vampirovibrio chlorellavorus and chlorella vulgaris originally obtained from freshwater reservoir	FW
co-culture originated from a tropical freshwater lake	FW
collected below a freshwater pond	FW
crater lake water	FW
creek moosbach	FW
creek water	FW
creek; freshwater	FW
cyanobacterial bloom in freshwater lake	FW
enriched culture of chlorella sorokiniana from an outdoor freshwater algae commercial production pond	FW
enrichment culture from freshwater algal bloom	FW
eutrophic freshwater pond	FW
ex cyanobacteria field sample from freshwater	FW
fountain water	FW
fresh water	FW
fresh water [envo:00002011]	FW
fresh water from drinking water reservoir	FW
fresh water from eutrophic lake	FW
fresh water in rice field	FW
fresh water lake	FW
fresh water lake l43 ice water interface	FW
fresh water pond	FW
fresh water stream	FW
fresh water; california	FW
fresh water; california; usa; 1964	FW
fresh water; california; usa.; 1963	FW
fresh water; ganges river	FW
freshater creek	FW
freshwater	FW
freshwater (river water)	FW
freshwater amoeba feeding on planktothrix enrichment	FW
freshwater angelfish dermal lesions	FW
freshwater antarctic lake	FW
freshwater aquarium	FW
freshwater biofilm developed on a stainless steel surface under a fluid velocity of 0.26 m s(-1)	FW
freshwater biome	FW
freshwater creek	FW
freshwater creek water	FW
freshwater cyanobacterial bloom	FW
freshwater cyanobacterial bloom; eutrophic fishpond papez	FW
freshwater environment	FW
freshwater from boreal shield lake	FW
freshwater from lake	FW
freshwater from river	FW
freshwater lake	FW
freshwater lake (reservoir)	FW
freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter	FW
freshwater lake microcystis colony	FW
freshwater lake midhypolimnion	FW
freshwater lake; 2 m depth	FW
freshwater lake; 40-80 m depth	FW
freshwater lake; 5 m depth	FW
freshwater lake; 80 m depth	FW
freshwater large river	FW
freshwater metagenome	FW
freshwater microcoleus biofilm	FW
freshwater of a phosphate removal system	FW
freshwater of an artificial reservoir	FW
freshwater pond	FW
freshwater ras system; circulating water	FW
freshwater reservoir	FW
freshwater reservoir from 10 m depth	FW
freshwater reservoir from 12m and 25m depth	FW
freshwater reservoir from 13m depth	FW
freshwater reservoir from 25 m depth	FW
freshwater reservoir; 30 m depth	FW
freshwater reservoir. 0.5 m delpth	FW
freshwater river	FW
freshwater sample	FW
freshwater sample collected from lake	FW
freshwater spring	FW
freshwater stream	FW
freshwater stream from sewage	FW
freshwater stream system; activated sludge	FW
freshwater surface (50 cm depth)	FW
freshwater; acidic water of a bog system	FW
freshwater; lake	FW
freshwater; small river	FW
glacial ice core	FW
glacial ice; 3519 m depth	FW
glacial stream	FW
ground water	FW
ground water from background well	FW
ground water from background well at doe s frc site at oak ridge	FW
ground water from potato field	FW
groundwater	FW
groundwater filtered on 0.22 m filters	FW
groundwater filtered on filters	FW
groundwater filtered through a 3.0 um filter	FW
groundwater filtered through a a 3.0 um filter and then through a 0.2 um filter	FW
groundwater from 1.7 km deep subsurface	FW
groundwater from a diary farm	FW
groundwater from cold water geyser; filtered on 0.1um pore size filters	FW
groundwater from well fw305	FW
groundwater from well h41 incubated with 12c bicarbonate for 21 days	FW
groundwater from well h41 incubated with 12c bicarbonate for 43 days	FW
groundwater from well h41 incubated with 12c bicarbonate for 70 days	FW
groundwater in the area of the surface repository of radioactive waste	FW
groundwater near lake karachai (russia)	FW
groundwater well	FW
groundwater well (0.1 _m fraction)	FW
isolated from freshwater that stored solumitrus palustris cysts; freshwater from lamont-doherty earth observatory	FW
lake constance	FW
lake michigan	FW
lake taihu water	FW
lake untersee	FW
lake washington	FW
lake water	FW
lake water column	FW
lake water from new mexico (usa)	FW
lake water from sao paulo s zoo	FW
lake water; 2mpn+n+c amendment	FW
lake water; mpn+n+c amendment	FW
lake water; p+n amendment	FW
lake water; p+n+c amendment	FW
limnic surface water	FW
long-term freshwater anammox column reactor	FW
microcystis colony from freshwater lake	FW
microcystis non-axenic culture inoculated from freshwater pond water	FW
mineral pool	FW
missouri river	FW
non-axenic culture from freshwater	FW
non-axenic culture from lake water	FW
non-axenic culture of unicellular cyanobacterium started from freshwater lake	FW
non-axenic enrichment culture inoculated with lake water	FW
noosa river	FW
peloid bath at spa	FW
polar fox lagoon sediment taken using 3m corer (60 mm diameter)	FW
rivermouth	FW
selenate-contaminated freshwater marsh sediment	FW
single cell amplified by mda; freshwater lake	FW
single cell of protist host amplifed by mda; originally isolated from freshwater hypoxic sediments	FW
single-cell amplified genomes of a freshwater lake	FW
small freshwater lake	FW
small freshwater pond	FW
small freshwater pond (ditch)	FW
snow	FW
snow sample	FW
subsurface groundwater	FW
subsurface groundwater biofilm	FW
subsurface sediment from a freshwater well	FW
subtropical river	FW
surface freshwater	FW
surface glacier	FW
surface lake water	FW
surface of a eutrophic freshwater pond	FW
surface sediment from the estuary of pearl river treated with pyrene for 1 day	FW
surface sediment from the estuary of pearl river treated with pyrene for 18 days	FW
surface sediment from the estuary of pearl river treated with pyrene for 24 days	FW
surface sediment from the estuary of pearl river treated with pyrene for 30 days	FW
surface sediment from the estuary of pearl river treated with pyrene for 6 days	FW
surface sediment of the jiulong river	FW
surface sediment of the jiulong river; depth 0.3 m	FW
surface water collection during the late summer	FW
surface water collection during the winter	FW
surface water from a freshwater lake in the southern gobi desert in inner mongolia	FW
surface water of freshwater lake during cyanobacterial bloom	FW
surface water of freshwater swan lake	FW
swan lake; a freshwater lake in western gobi desert	FW
temporal freshwater pond	FW
total dna from ciliate isolated from freshwater	FW
uncontaminated groundwater aquifer	FW
unialgal culture in lake water	FW
urban freshwater pond	FW
urban river	FW
usa: oklahoma; sallisaw; sallisaw creek public use area; robert s. kerr reservoir	FW
washing of tomato purchased from local vegetable market	FW
washing water of bugula plumosa	FW
water column of the freshwater reservoir embalse de amadorio in spain	FW
water from a pond	FW
water from cave	FW
water from concrete sewer	FW
water from cyanobacterial bloom	FW
water from drilled well	FW
water from drinking water treatment plant process	FW
water from lake	FW
water from shower head	FW
water from slepian water system	FW
water from subtropical river stream	FW
water from surface of lake	FW
water ice core [envo:01001530]	FW
water in cooling tower	FW
water lake	FW
water of a fish culture pond	FW
water was collected from the junction between the ocean and a freshwater spring at jeju island of south korea	FW
water-cooling system	FW
water; lake; lake loosdrecht; the netherlands	FW
water; lake; wisconsin; usa; 1949	FW
water; most likely pond	FW
waterway; freshwater	FW
well freshwater	FW
wetland freshwater	FW
zone where the ocean and a freshwater spring meet at soesokkak; located at jeju island	FW
0.22 micron fraction from freshwater reservoir amadorio	FW
0.22 um filtrate of the rio agrio inferior river water column sample collected from geothermal system copahue-caviahue-chanchoco	FW
isolated from the sediment in the norilsk hydrometallurgy tailings dam	FW
kaeda river; miyazaki; japan	FW
melt water	FW
4np lake lanier mesocosm i	FW
5 liters of water from the tucurui power plant reservoir; point m5 collected 50cm beneath the lake surface; then filtered by negative pressure for posterior culture in bg-11 medium	FW
5.0 m chemocline layer of meromictic lake	FW
5.5 m monimolimnion layer of meromictic lake	FW
8-m water column from mahoney lake	FW
a fresh water	FW
a pond on the huanglong mountain	FW
alpine lake	FW
alpine reservoir	FW
alpine seep	FW
amazon river	FW
deep mesotrophic lake	FW
deep subsurface groundwater	FW
deep subsurface sediment groundwater	FW
deeply circulating subsurface aquifer fluids	FW
disinfectant-free drinking water; site 1	FW
disinfectant-free drinking water; site 2	FW
disinfectant-free drinking water; site 3	FW
disinfectant-free drinking water; site 4	FW
disinfectant-free drinking water; site 5	FW
distilled water samples	FW
distribution water from treated drinking water production facilities	FW
doe field research center at oakridge; tennessee; area 5; well fw507	FW
dolichospermum enrichment culture inoculated with lake water from cyanobacterial bloom	FW
domestic water	FW
doroninskoe lake	FW
drinking water	FW
drinking water distribution network	FW
drinking water distribution system	FW
drinking water faucet	FW
drinking water from drinking water treatment plant	FW
drinking water reservoir	FW
drinking water reservoir; lter site	FW
drinking water system-before chlorination	FW
drinking water system-ds1	FW
drinking water system-ds2	FW
drinking water system-ds3	FW
drinking water system-finished water	FW
drinking water system-pb1	FW
drinking water system-pb2	FW
drinking water system-pr	FW
drinking water system-raw water	FW
drinking water system-wm	FW
drinking water treatment plant	FW
dual media filters at the ann arbor; michigan drinking water treatment plant	FW
enrichment culture aer1 inoculated with biofilm which develop in hydrocarbon contaminated groundwater; aerobic enrichment culture amended with 20 ppm diesel fuel/ crude oil mixture (3:2; v/v) as carbon and energy sources	FW
enrichment culture aer2 inoculated with biofilm which develop in hydrocarbon contaminated groundwater; aerobic enrichment culture amended with 20 ppm diesel fuel/ crude oil mixture (3:2; v/v) as carbon and energy sources	FW
enrichment culture aer3 inoculated with biofilm which develop in hydrocarbon contaminated groundwater; aerobic enrichment culture amended with 20 ppm diesel fuel/ crude oil mixture (3:2; v/v) as carbon and energy sources	FW
enrichment culture derived from water recycling plant	FW
enrichment culture dh1 from tap water in fudan university; urea	FW
enrichment culture inoculated from aquifer	FW
enrichment culture inoculated with cave lake water with methylated amine as carbon substrate	FW
enrichment culture nsfw from tap water in fudan university; filter and ammonium	FW
enrichment culture of an open water sample	FW
enrichment culture of drinking water treatment residuals inoculated with planktothrix agardhii	FW
enrichment culture sampled from a low-nitrate anoxic artesian well	FW
ethane-enriched microcosm from aquifer solid	FW
euglena gracilis from city ponds	FW
filtered formation waters collected from the coxon creek 10 (cx-10) coalbed methane well	FW
fjord sediment	FW
hospital hot water tap	FW
household tap filter	FW
hypoxic lake water	FW
influent of drinking water plant	FW
injection water	FW
tianshan glacier	FW
tibetan plateau glacier	FW
tibetan plateau lake	FW
turbid lake in tropical area	FW
unialgal culture inoculated from water sample from a temporary water body in a tropical forest; contains one cyanobacterium and few bacterial species (which were removed by filtration)	FW
water column (srf) surface water layer	FW
water column in the pearl river estuary	FW
water column of lake medard; czechia	FW
water column of lake zurich; switzerland	FW
water column of rimov reservoir; czechia	FW
water column oxic-anoxic transition zone	FW
water outlet of water purification equipment	FW
water pool in cave	FW
water pool in cave at wind cave national park	FW
water pool in the karst cave	FW
water reservoir	FW
water rivulet	FW
water sample from glacier stream	FW
water sample from nshq14 well	FW
water surface of eutrophic pond; goettingen; germany	FW
well water	FW
microbial mat growing in sulfidic groundwater-fed fountain near public library	FW
microbial mats in lake fryxell; mcmurdo dry valleys; antarctica	FW
pond on rit campus	FW
puddle	FW
pumped water from 2m above bottom of lake banyoles	FW
s1-enrichment culture from tap water-filter-ammonium	FW
s2-enrichment culture from tap water-filter-nitrite	FW
sediment with water of forest creek	FW
surface water from lake zurich	FW
tank of well water	FW
2.8-km deep subsurface aquifer	FW
3.0 m mixolimnion layer of meromictic lake	FW
a lake on ukok plateau (russia)	FW
a microcosm of filter-sterilized niagara river water spiked with yersinia pestis a1122	FW
aquifer	FW
aquifer (aquifer; canoga park)	FW
aquifer adjacent to the colorado river	FW
aquifer column	FW
arsenic-contaminated aquifer	FW
biofilm scrapped from cow tibia surface after nine month of incubation underwater in a fjord	FW
bottom water from the huguangyan maar lake in southern china	FW
chloroethene-contaminated groundwater	FW
cooling tower water	FW
enrichment of ferruginous lake sediment	FW
sediment from the olkhovka river	FW
sediment from tibetan glacier	FW
water from co2 storage reservoir	FW
water from great artesian basin bore well	FW
water with organic detritus of a blind river branch	FW
water with organic detritus of a forest pool	FW
wet rock wall; lower calf creek falls; navajo sandstone	FW
biofilm clogging water pumps in ice machines	FW
commercial building tap; chloraminated drinking water	FW
dichloromethane-fermenting enrichment culture inoculated with organochlorine-contaminated groundwater	FW
flood water	FW
floodplain area	FW
flowing water column of cache la poudre river; enriched in culture for about 1.5 years	FW
flowing water column of south platte river; enriched in culture for about 1.5 years	FW
isolated from littorial waters of lake michigan that had been stored at 4 degrees c for one year	FW
size-fractionated lake water incubated for 31 months	FW
yancheng relics park river water	FW
biofilm from sulfidic groundwater	FW
biofilm from underground water supply	FW
boreal lake water	FW
ca. chloroheliales l227-5c initial enrichment culture; a non-axenic enrichment culture of water from the upper anoxic zone (5 m depth) of a boreal shield lake	FW
ca. chlorohelix allophototropha enrichment; subculture 1; a non-axenic enrichment culture of water from the upper anoxic zone (3.875 m depth) of a boreal shield lake	FW
ca. chlorohelix allophototropha enrichment; subculture 15; a non-axenic enrichment culture of water from the upper anoxic zone (3.875 m depth) of a boreal shield lake	FW
candidatus chlorohelix allophototropha enrichment; subculture 15.c; a non-axenic enrichment culture of water from the upper anoxic zone (3.88 m depth) of a boreal shield lake	FW
cold spring	FW
contaminated groundwater	FW
water (brook)	FW
water convolvulus field	FW
water from a cavern brook	FW
water from a container for water evaporation	FW
water from a groundwater well adjacent to an active municipal landfill in southern ontario	FW
water from a pond with diseased farmed murray cod (maccullochella peelii peelii)	FW
water from chemokine of meromictic lakes green cape	FW
water from eutrophic garden pond	FW
water from karst cave	FW
water from lab-scale nutrients removal reactor	FW
water from rimov reservoir	FW
water from temporary lake	FW
water from the east lake of wuhan	FW
water of artificial pond	FW
water of eutrophic lake	FW
water sample of donghu lake; wuhan city; hubei province; china	FW
water source with 2-mib odor	FW
water supply well	FW
well	FW
xylene contaminated groundwater	FW
water with mud from a forest pond	FW
subsurface aquifer	FW
subsurface aquifer sediment	FW
tap water	FW
tap water (bathroom)	FW
tap water incubated with methane	FW
tinto river	FW
yongmun waterfall	FW
glacier ice	FW
glacier subglacial outflow	FW
lago dos indios	FW
lake bolshye khruslomeny; water chemocline zone	FW
lake cadagno chemocline	FW
lake egelsee	FW
lake kulim; kedah; malaysia	FW
lake lanier	FW
lake lanier 2;4-d mesocosm ii	FW
lake lanier 2;4-d mesocosm iii	FW
lake mondsee	FW
lake sanaru	FW
oligotrophic lake microbial mat	FW
oligotrophic pond	FW
powai lake	FW
purple microbial (photo- and chemosynthetic) mats found in low-oxygen high-sulfur sink holes collected from 2007 through 2012	FW
recreational lake	FW
red cedar river in okemos; michigan; usa	FW
reservoir for drinking water supply	FW
reservoir water	FW
rock porewater	FW
stream sediment	FW
stream water	FW
stream water in greenland	FW
the moskva river	FW
the sano marine lake	FW
shallow waters of chuuk lagoon	FW
serpentinized groundwater	FW
shallow subsurface groundwater	FW
stalactite dripping water	FW
subsurface water	FW
subsurface waters	FW
taihu lake	FW
tailan river	FW
tce-polluted aquifer	FW
anderson lake	FW
artificial lake	FW
artificial pond	FW
biofilm from a meromictic lake	FW
changjiang river	FW
columbia river plume; salinty 15	FW
columbia river plume; salinty 25	FW
columbia river; salinty 0	FW
combination of 24 samples (8 from lake croche; 8 from montjoie and 8 from simoncouche) collected from 2013 through 2014	FW
composite sample from fresh water environments of southern british columbia	FW
cyanobacterial culture pond	FW
cyanobacterial mat from puddle beside house	FW
daechung reservoir	FW
cryoconite	FW
pavilion lake microbialites	FW
subtropical stream	FW
sulfide-containing well water	FW
sulfidic waters (60 m) from the peruvian upwelling region	FW
surface water from the jiulong river at depth of 0m	FW
switzerland: lake zurich; 5 m depth	FW
humic pond in novohradske mountains	FW
hyporheic zone of the nyack river	FW
irrigation canal	FW
natural lake	FW
river	FW
river argen	FW
surface water of lake taihu	FW
surface water of organic lake antarctica	FW
surface water of the huguangyan maar lake	FW
surface water of the shahu lake	FW
the pshada river	FW
wet sandstone near waterfall	FW
hai zhu lake	FW
hospital sink	FW
huangshui	FW
lake surface water	FW
mahoney lake; british columbia; canada	FW
maroochydoore river	FW
accretion ice	FW
basal ice	FW
basal rusty biofilm with shiny surface	FW
basaltic crustal fluids	FW
blackwater river	FW
caffeine lake lanier mesocosm i	FW
deep anoxic layer (35m depth) cueva de la mora	FW
geomnyoung pond	FW
logan river	FW
loyalsock creek	FW
mineral water	FW
natural mineral water	FW
wintergreen lake	FW
surficial creek	FW
arctic cryosol methane sip	FW
baengnokdam summit crater area; mt. halla	FW
baiyang lake	FW
blue-green mat floating on water surface of lake	FW
buteha crater lake	FW
cold methane seeps in a floodplain	FW
glacial stream water	FW
glacier water sample	FW
hanford 300 area ifrc 399-1-60 groundwater	FW
hard water rivulet	FW
hospital shower hose biofilm	FW
mesotrophic artificial lake	FW
orfrc groundwater during biostimulation for uranium bioreduction	FW
permian groundwater collected from pecos cenozoic trough	FW
pes/pvp hollowfiber membrane used for tap-water filtration	FW
purified water system	FW
sample from the stream from laie falls	FW
shallow pond	FW
shallow tropical waters	FW
open drain run-off channel of a bore in the great artesian basin	FW
precipitation	FW
intermediate water	FW
intermittent pond	FW
little long lake	FW
meromictic lake	FW
sample taken from a temporary lake	FW
shallow ephemeral pool	FW
shallow eutrophic lake	FW
sinkhole chemocline	FW
acidic pond	FW
acidic water	FW
eutrophic edge of the mire	FW
eutrophic lake	FW
eutrophic lake le loclat	FW
eutrophic pond	FW
eutrophic water	FW
eutrophication lake	FW
eutrophication pond	FW
glacier from lahual spiti valley	FW
hengshui lake national nature reserve	FW
freashwater sediment	FWS
lagoon sediment	FWS
lagoon sediments	FWS
lake soil with philodendrom oxycardium	FWS
namibian river-bank soil	FWS
pond r1 soil	FWS
pond r2 soil	FWS
pond soil	FWS
rice paddy soil	FWS
rice soil	FWS
rice soil sample	FWS
rifle background sediment; well d04 at 13ft depth	FWS
rifle background sediment; well d04 at 16ft depth	FWS
rifle background sediment; well d04 at 19ft depth	FWS
river bed soil	FWS
soil from paddy field	FWS
soil matrix of an anoxic water-saturated layer (1 m in depth) that had been exclusively polluted with 1;2-dca.	FWS
soil of a rice field	FWS
soil of a rice paddy	FWS
soil of paddy field	FWS
soil of the black water river	FWS
soil or river water	FWS
spring sediment	FWS
agricultural settling lagoon	FWS
autotrophic nrfeox enrichment culture bp inoculated with freshwater sediment	FWS
bacterial enrichment community from groundwater sediment	FWS
creek sediment	FWS
enrichment culture inoculated with freshwater sediment	FWS
fresh water lake sediment	FWS
fresh water sediment	FWS
fresh water sediment from a canal	FWS
freshwater anoxic sediment	FWS
freshwater ditch	FWS
freshwater including sediment from sincheon river	FWS
freshwater lake sediment	FWS
freshwater mud	FWS
freshwater sediment	FWS
freshwater sediment enrichment culture ks	FWS
freshwater sediment of littoral zone	FWS
freshwater sediment of sincheon river	FWS
freshwater sediment of the river olkhovka	FWS
freshwater sediment sample	FWS
freshwater sediment; owens lake	FWS
freshwater spring sediment	FWS
glacial lake sediment	FWS
glacial sediment	FWS
groundwater sediment	FWS
guaymas basin sediment: dive 4572 depth 12-15 cm; dive 4572 depth 0-3 cm; dive 4484 depth 3-4 cm; dive 4484 depth 0-1 cm	FWS
methanogenic freshwater lake sediments	FWS
microaerophilic veil; freshwater sediment	FWS
river sediment	FWS
river sediment contaminated by e-waste	FWS
river sediment from subtropical stream	FWS
river sediment with paper mill waste	FWS
river sediments	FWS
river sediments grown in denitrifying medium in anaerobic bioreactor system	FWS
river velez	FWS
river water	FWS
river water during mass gathering event	FWS
river water from subtropical stream	FWS
river water; unialgal nonaxenic culture	FWS
riverbank s damp soil	FWS
riverbed of promissao reservoir	FWS
riverbed sediment	FWS
sediment in freshwater pond; athens; ga	FWS
sediment of a freshwater pond enriched in a fixed-bed reactor with 2;6-dichlorophenol as sole carbon and energy source	FWS
sediment of freshwater lake	FWS
sediment of junction between the ocean and a freshwater spring	FWS
canal sediment	FWS
canal sediment microbiome	FWS
water and sediment collected from a small swamp	FWS
water with organic detritus	FWS
glacier cryoconite	FWS
glacier ervoconite	FWS
lake mainaki silt	FWS
lake mud	FWS
lake sediment	FWS
lake sediments	FWS
lower gallery with a lake; inside a wall diverticulum; 1 m above the cave floor	FWS
lower gallery with a lake; water-sediments interface (waterfront)	FWS
reservoir sediment	FWS
subglacial sediment	FWS
subglacial sediments	FWS
the essentukskoye mineral water deposit	FWS
sediment from a natural stream that has been contaminated with hg from upstream sources	FWS
sediment from a river near an e-waste dump; tbbpa-dehalogenation enrichment	FWS
sediment from alluvial plain	FWS
sediment from cryoconite holes	FWS
sediment from lake	FWS
sediment of a shallow stream	FWS
sediment of cherry creek; enriched in culture for about 1.5 years	FWS
sediment of karst cave	FWS
sediment of karst cave frome guilin	FWS
sediment-water interface in an artificial aquarium in the frasassi cave system	FWS
sediments from karst caves	FWS
sediments from karst caves in guizhou	FWS
subsurface sediment cores of qiangtang basin permafrost in china	FWS
subterrestrial sediment	FWS
taihu lake sediment	FWS
tailan river silt	FWS
alpine glacier cryoconite	FWS
mineral water deposit	FWS
oxic water above sulfide containing lake sediment	FWS
contaminated sediment in taejon	FWS
lluta river sediment	FWS
natural oxic surface sediment	FWS
shallow sediments	FWS
sediment of lake	FWS
fen	FWS
glacial till	FWS
glacier s cryoconite from alps mountain	FWS
alpine soil near a hot spring	Geothermal
geothermal area	Geothermal
geothermal hot spring	Geothermal
geothermal hotspring	Geothermal
geothermal soil	Geothermal
geothermal soil of the north-west slope of mount melbourne	Geothermal
geothermal spring	Geothermal
geothermal spring sediment	Geothermal
geothermal spring water	Geothermal
geothermal water	Geothermal
geothermally heated soil	Geothermal
geothermally heated soil sample	Geothermal
hot spings runoff	Geothermal
hot spring	Geothermal
hot spring 63c; ph 8.8	Geothermal
hot spring cone pool 2	Geothermal
hot spring environment	Geothermal
hot spring filament	Geothermal
hot spring in the south of china	Geothermal
hot spring karlovy vary	Geothermal
hot spring microbial mat	Geothermal
hot spring runoff	Geothermal
hot spring sample	Geothermal
hot spring sediment	Geothermal
hot spring sediments	Geothermal
hot spring soil	Geothermal
hot spring soil mat	Geothermal
hot spring water	Geothermal
hot spring_55deg.	Geothermal
hot spring_65deg.	Geothermal
hot spring_98deg.	Geothermal
hot springs	Geothermal
hot springs and caldera lake in caldera of raoul island/rangitaahua island arc volcano	Geothermal
hot springs sediment	Geothermal
hot stream water	Geothermal
hot underground spring	Geothermal
hot water	Geothermal
hot water spring	Geothermal
hot water tap	Geothermal
hot water tap; geest office building	Geothermal
hot-spring sediment	Geothermal
hotspring	Geothermal
hotspring water	Geothermal
